Country,series,Year,Value,Source,Exports (current US$),Imports (current US$),Current Account Balance (US$),NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NY.GDP.MKTP.CD,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.XPD.CHEX.GD.ZS
ALB,,2015,,IMF,3104897798.78826,5070977325.18894,-979825099.400475,3104897798.78826,5070977325.18894,11470171826.9575,27.0693224620319,44.2101251985694,2.2277040745779,6.46411896
ALB,,2016,,IMF,3437126544.898,5436220772.90211,-900363040.501945,3437126544.898,5436220772.90211,11988668784.6628,28.6697931741608,45.3446572805207,3.90893551362245,6.7293272
ALB,,2017,,IMF,4110301305.54485,6070375896.83265,-982237928.301343,4110301305.54485,6070375896.83265,13258268435.6048,31.0017957888583,45.7855860010406,3.28317593330073,6.57848787
ALB,,2018,,IMF,4785182304.44356,6856194783.87124,-1016226360.01795,4785182304.44356,6856194783.87124,15379508329.7568,31.1140135421951,44.5800648295474,3.67141928098908,6.66844559
ALB,,2019,,IMF,4821429218.47484,6926959712.72243,-1218856026.94155,4821429218.47484,6926959712.72243,15585111614.0376,30.9361224858484,44.4460064468406,2.06257790176122,6.86214113
ALB,,2020,,IMF,3435540416.01473,5636282433.50207,-1314583005.68534,3435540416.01473,5636282433.50207,15241455556.3737,22.540763270986,36.9799486187859,-3.31375636888916,7.50389433
ALB,,2021,,IMF,5613909458.07573,8016544325.73416,-1369694859.41271,5613909458.07573,8016544325.73416,18032009220.4405,31.1330223351483,44.4572993931639,8.96957619074095,7.39913177
ALB,,2022,,IMF,7073859853.81833,9033376427.47253,-1116775476.01529,7073859853.81833,9033376427.47253,19017244116.7203,37.1970818190154,47.5009752834284,4.82669611912765,6.19368076
ALB,,2023,,IMF,9104536340.60311,10320399920.5127,-281700033.312899,9104536340.60311,10320399920.5127,23547180412.3404,38.6650808341863,43.828601725513,3.93661689192599,
AND,,2000,,IMF,,,,,,1432606188.69324,,,,
AND,,2001,,IMF,,,,,,1548265808.05802,,,,
AND,,2002,,IMF,,,,,,1764279824.29752,,,,
AND,,2003,,IMF,,,,,,2366941808.94404,,,,
AND,,2004,,IMF,,,,,,2900245324.49221,,,,
AND,,2005,,IMF,,,,,,3161084091.11674,,,,
AND,,2006,,IMF,,,,,,3459337986.88383,,,,
AND,,2007,,IMF,,,,,,3957625367.21959,,,,
AND,,2008,,IMF,,,,,,4102319399.02343,,,,
AND,,2009,,IMF,,,,,,3688976340.7549,,,,
AND,,2010,,IMF,,,,,,3449925738.86069,,,,
AND,,2011,,IMF,,,,,,3629133574.27783,,,,
AND,,2012,,IMF,,,,,,3188652765.36184,,,,
AND,,2013,,IMF,,,,,,3193512950.02419,,,,
AND,,2014,,IMF,,,,,,3271685596.66321,,,,
AND,,2015,,IMF,,,,,,2789881258.50362,,,1.43414039522716,6.91586447
AND,,2016,,IMF,,,,,,2896610479.73077,,,3.70967806978986,6.90521765
AND,,2017,,IMF,,,,,,3000162081.11976,,,0.346071889630295,7.07142639
AND,,2018,,IMF,,,,,,3218419896.9641,,,1.58876549046354,7.37541723
AND,,2019,,IMF,,,568257241.756768,,,3155149347.80639,,,2.01554763848308,7.323246
AND,,2020,,IMF,,,448869294.442756,,,2891001149.3611,,,-11.1839399355384,8.78673935
AND,,2021,,IMF,,,499421933.779706,,,3324647529.381,,,8.28677879049404,8.33450699
AND,,2022,,IMF,,,393619769.911968,,,3380612573.32922,,,9.56461225648184,7.53678846
AND,,2023,,IMF,,,538286643.669781,,,3785067331.7625,,,2.58355480961319,7.92821121
ARB,,2000,,IMF,,228447639402.206,,,228447639402.206,763411636190.425,,,,
ARB,,2001,,IMF,282706296324.08,229203630755.167,,282706296324.08,229203630755.167,744728537853.62,,,,
ARB,,2002,,IMF,293092062218.861,236569871589.557,,293092062218.861,236569871589.557,746649261275.272,,,,
ARB,,2003,,IMF,353184731800.125,270285785261.155,,353184731800.125,270285785261.155,830076468636.6,,,,
ARB,,2004,,IMF,468556317916.221,346774756376.785,,468556317916.221,346774756376.785,987316008401.59,,,,
ARB,,2005,,IMF,630553653733.037,424860604203.3,,630553653733.037,424860604203.3,1210080439500.3,,,,
